Top 1000 Wordle openers (score = information gain, higher = better)
============================================================
341. PEART | score: 28.5052 | visits: 28
342. SHORN | score: 28.5049 | visits: 28
343. PERNS | score: 28.5049 | visits: 28
344. ALERT | score: 28.5048 | visits: 28
345. SOBER | score: 28.5048 | visits: 28
346. SLICE | score: 28.5047 | visits: 28
347. TORAS | score: 28.5046 | visits: 28
348. SPEIR | score: 28.5045 | visits: 28
349. ARETS | score: 28.5045 | visits: 28
350. ROYST | score: 28.5045 | visits: 28
351. STOPE | score: 28.5044 | visits: 28
352. ADORE | score: 28.5044 | visits: 28
353. SAUCE | score: 28.5043 | visits: 28
354. SIEUR | score: 28.5042 | visits: 28
355. STONY | score: 28.5040 | visits: 28
356. BRAES | score: 28.5039 | visits: 28
357. WROTE | score: 28.5039 | visits: 28
358. SCRAT | score: 28.5039 | visits: 28
359. SAYON | score: 28.5039 | visits: 28
360. SHOER | score: 28.5039 | visits: 28
361. SYMAR | score: 28.5038 | visits: 28
362. BROSE | score: 28.5037 | visits: 28
363. SORAL | score: 28.5036 | visits: 28
364. SPITE | score: 28.5036 | visits: 28
365. SAVOR | score: 28.5035 | visits: 28
366. AYRIE | score: 28.5034 | visits: 28
367. SCANT | score: 28.5034 | visits: 28
368. TYERS | score: 28.5029 | visits: 28
369. CORNS | score: 28.5029 | visits: 28
370. HOSEN | score: 28.5029 | visits: 28
371. ACERS | score: 28.5027 | visits: 28
372. OTARY | score: 28.5026 | visits: 28
373. POSER | score: 28.5025 | visits: 28
374. SWEIR | score: 28.5025 | visits: 28
375. TEALS | score: 28.5024 | visits: 28
376. WEIRS | score: 28.5024 | visits: 28
377. SMART | score: 28.5023 | visits: 28
378. SPYRE | score: 28.5020 | visits: 28
379. SWOLE | score: 28.5020 | visits: 28
380. LOWSE | score: 28.5019 | visits: 28
381. SOAVE | score: 28.5019 | visits: 28
382. SILEN | score: 28.5018 | visits: 28
383. TESLA | score: 28.5018 | visits: 28
384. ALTER | score: 28.5017 | visits: 28
385. OSIER | score: 28.5013 | visits: 28
386. ASTIR | score: 28.5012 | visits: 28
387. WARST | score: 28.5009 | visits: 28
388. TRAYS | score: 28.5008 | visits: 28
389. STENO | score: 28.5006 | visits: 28
390. DEARS | score: 28.5006 | visits: 28
391. SWILE | score: 28.5005 | visits: 28
392. WORST | score: 28.5004 | visits: 28
393. LOUSE | score: 28.5000 | visits: 28
394. DOSER | score: 28.5000 | visits: 28
395. CLAES | score: 28.4998 | visits: 28
396. SUITE | score: 28.4996 | visits: 28
397. SPIRT | score: 28.4996 | visits: 28
398. CLOSE | score: 28.4996 | visits: 28
399. TIERS | score: 28.4995 | visits: 28
400. CERTS | score: 28.4994 | visits: 28
401. COIRS | score: 28.4994 | visits: 28
402. AIERY | score: 28.4992 | visits: 28
403. LORES | score: 28.4987 | visits: 28
404. SPRAT | score: 28.4987 | visits: 28
405. TORSI | score: 28.4987 | visits: 28
406. CEORL | score: 28.4981 | visits: 28
407. SOLDE | score: 28.4981 | visits: 28
408. LEIRS | score: 28.4979 | visits: 28
409. TWAES | score: 28.4978 | visits: 28
410. ACTOR | score: 28.4978 | visits: 28
411. SIRED | score: 28.4977 | visits: 28
412. ARTSY | score: 28.4976 | visits: 28
413. HOSER | score: 28.4974 | visits: 28
414. PORES | score: 28.4974 | visits: 28
415. SHOTE | score: 28.4961 | visits: 28
416. OYERS | score: 28.4958 | visits: 28
417. SPRAY | score: 28.4957 | visits: 28
418. OUSEL | score: 28.4957 | visits: 28
419. SMOTE | score: 28.4956 | visits: 28
420. TRIOS | score: 28.4954 | visits: 28
421. STOUR | score: 28.4954 | visits: 28
422. THOSE | score: 28.4953 | visits: 28
423. SOYLE | score: 28.4953 | visits: 28
424. SPODE | score: 28.4952 | visits: 28
425. SHERO | score: 28.4948 | visits: 28
426. LOSED | score: 28.4939 | visits: 28
427. HOSEY | score: 28.4935 | visits: 28
428. SOILY | score: 28.4934 | visits: 28
429. TYROS | score: 28.4933 | visits: 28
430. POSEY | score: 28.4921 | visits: 28
431. SEPOY | score: 28.4913 | visits: 28
432. SLIDE | score: 27.5004 | visits: 27
433. LOIRS | score: 27.5004 | visits: 27
434. REWON | score: 27.5003 | visits: 27
435. ROWAN | score: 27.5003 | visits: 27
436. WREST | score: 27.5003 | visits: 27
437. DEARY | score: 27.5002 | visits: 27
438. LOAST | score: 27.5001 | visits: 27
439. YEAST | score: 27.5000 | visits: 27
440. LEATS | score: 27.4999 | visits: 27
441. CLEAR | score: 27.4999 | visits: 27
442. SWARD | score: 27.4997 | visits: 27
443. SWAIN | score: 27.4996 | visits: 27
444. SEGOL | score: 27.4996 | visits: 27
445. ROTIS | score: 27.4996 | visits: 27
446. CARNS | score: 27.4995 | visits: 27
